section,title,description
149,"BNS Section 149 - Collecting arms, etc., with intention of waging war against the Government of India.","B.N.S 149, Collecting arms, etc., with intention of waging war against the Government of India."
148,BNS Section 148 - Conspiracy to commit offences punishable by section 147.,"B.N.S 148, Conspiracy to commit offences punishable by section 147."
146,BNS Section 146 - Unlawful compulsory labour.,"B.N.S 146, Unlawful compulsory labour."
152,BNS Section 152 - Acts endangering sovereignty unity and integrity of India.,"B.N.S 152, Acts endangering sovereignty unity and integrity of India."
151,"BNS Section 151 - Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power.","B.N.S 151, Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power."
153,BNS Section 153 - Waging war against Government of any foreign State at peace with the Government of India.,"B.N.S 153, Waging war against Government of any foreign State at peace with the Government of India."
155,BNS Section 155 - Receiving property taken by war or depredation mentioned in sections 153 and 154.,"B.N.S 155, Receiving property taken by war or depredation mentioned in sections 153 and 154."
154,BNS Section 154 - Committing depredation on territories of foreign State at peace with the Government of India.,"B.N.S 154, Committing depredation on territories of foreign State at peace with the Government of India."
156,BNS Section 156 - Public servant voluntarily allowing prisoner of state or war to escape.,"B.N.S 156, Public servant voluntarily allowing prisoner of state or war to escape."
158,"BNS Section 158 - Aiding escape of, rescuing or harbouring such prisoner.","B.N.S 158, Aiding escape of, rescuing or harbouring such prisoner."
157,BNS Section 157 - Public servant negligently suffering such prisoner to escape.,"B.N.S 157, Public servant negligently suffering such prisoner to escape."
159,"BNS Section 159 - Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.","B.N.S 159, Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty."
160,"BNS Section 160 - Abetment of mutiny, if mutiny is committed in consequence thereof.","B.N.S 160, Abetment of mutiny, if mutiny is committed in consequence thereof."
162,"BNS Section 162 - Abetment of such assault, if the assault committed.","B.N.S 162, Abetment of such assault, if the assault committed."
161,"BNS Section 161 - Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office.","B.N.S 161, Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office."
163,"BNS Section 163 - Abetment of desertion of soldier, sailor or airman.","B.N.S 163, Abetment of desertion of soldier, sailor or airman."
